group_id,indiv_id,site_id,site_id_chinese,longitude,latitude,altitude,altitude_range,date_interval_bp,Time_plus,Time_minus,time_period,Subsistence,min_temp,max_temp,precip_jan,precip_jul,sex,pC,FXL,FBL,FHD,TXL,HXL,RXL,BI,CI,Measure
2,WJHM490ding,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,430,426.293,,361.5,,,,84.80082948,Direct
2,WJHM491yi,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,,334,,,,Direct
2,WJHM493,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,,315,,,,Direct
2,WJHM514,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,,301,,,,Direct
2,WJHM515,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,462,458.133,,,,,,,Direct
2,WJHM516,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,431,427.288,,348,297.5,,,81.44389732,Direct
3_1,HTMGM45,Houtaomuga_period1&2,吉林后套木噶_1&2,123.47,45.39,136,low,8000-7500,8000,7500,0,1,-21.88299942,29.04999924,1,141,0,0.05,432.5,428.7805,,,,,,,Direct
3_1,HTMGM54B,Houtaomuga_period1&2,吉林后套木噶_1&2,123.47,45.39,136,low,8000-7500,8000,7500,0,1,-21.88299942,29.04999924,1,141,0,0.05,446.5,442.7105,,,,,,,Direct
3_2,HTMGMM94,Houtaomuga_period3&4,吉林后套木噶_3&4,123.47,45.39,136,low,6000-5450,6000,5450,1,1,-21.88299942,29.04999924,1,141,0,0.05,400,396.443,,,,,,,Direct
3_2,HTMGMM90,Houtaomuga_period3&4,吉林后套木噶_3&4,123.47,45.39,136,low,6000-5450,6000,5450,1,1,-21.88299942,29.04999924,1,141,0,0.05,434,430.273,,,,,,,Direct
3_2,HTMGMM91,Houtaomuga_period3&4,吉林后套木噶_3&4,123.47,45.39,136,low,6000-5450,6000,5450,1,1,-21.88299942,29.04999924,1,141,1,0.95,429,425.298,,,,,,,Direct
3_3,HTMGM7,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,438,434.253,,,,,,,Direct
3_3,HTMGM25A,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,457.5,453.6555,,,,,,,Direct
3_3,2011DHAⅢM48A,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,404.5,400.9205,,,,,,,Direct
3_3,2011DHAⅢM48B,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,397,393.458,,,,,,,Direct
3_3,2011DHAⅢM49A,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,413,409.378,,,,,,,Direct
3_3,2011DHAⅢM49C,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,394,390.473,,,,,,,Direct
3_3,2011DHAⅢM58B?E? ,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,437,433.258,,,,,,,Direct
3_3,2011DHAⅢM58C,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,445.5,441.7155,,,,,,,Direct
3_3,2011DHAⅢM59A,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,434,430.273,,,,,,,Direct
3_3,2011DHAⅢM60,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,408,404.403,,,,,,,Direct
3_3,2011DHAⅢM62A ,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,442.75,438.97925,,,,,,,Direct
3_3,2012DHAⅢM74A,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,425,421.318,,,,,,,Direct
3_3,2012DHAⅢM83B ,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,0,0.05,401.5,397.9355,,,,,,,Direct
3_3,2013DHAⅠM2B,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,416.25,412.61175,,,,,,,Direct
3_3,2013DHAⅠM4,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,411.75,408.13425,,,,,,,Direct
3_3,2013DHAⅠM6B,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,412,408.383,,,,,,,Direct
3_3,2013DHAⅠM6C,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,378,374.553,,,,,,,Direct
3_3,2013DHAⅠM8,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,412.5,408.8805,,,,,,,Direct
3_3,2013DHAⅡM1A,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,408,404.403,,,,,,,Direct
3_3,2011DHAⅢM28,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,408.5,404.9005,,,,,,,Direct
3_3,2011DHAⅢM35A ,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,413,409.378,,,,,,,Direct
3_3,2011DHAⅢM39A,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,395.5,391.9655,,,,,,,Direct
3_3,2011DHAⅢM40A,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,388,384.503,,,,,,,Direct
3_3,2011DHAⅢM43D,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,383.5,380.0255,,,,,,,Direct
3_3,2011DHAⅢM46A ,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,358.5,355.1505,,,,,,,Direct
3_3,2011DHAⅢM49B ,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,368.25,364.85175,,,,,,,Direct
3_3,2011DHAⅢM4B ,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,397,393.458,,,,,,,Direct
3_3,2011DHAⅢM51,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,401.25,397.68675,,,,,,,Direct
3_3,2011DHAⅢM58D,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,397,393.458,,,,,,,Direct
3_3,2011DHAⅢM61 ,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,416,412.363,,,,,,,Direct
3_3,2011DHAⅢM67 ,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,422,418.333,,,,,,,Direct
3_3,2012DHAⅢM70A,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,398.25,394.70175,,,,,,,Direct
3_3,2012DHAⅢM70B,Houtaomuga_period5&6,吉林后套木噶_5&6,123.47,45.39,136,low,2720-1730,2720,1730,3,1,-21.88299942,29.04999924,1,141,1,0.95,407,403.408,,,,,,,Direct
